timestamp,user_id,user_role,department,action,resource,resource_sensitivity,login_hour,device_id,ip_address,location,failed_attempts,data_downloaded_mb,privilege_change,audit_log_disabled,usual_device,usual_resource,approved_maintenance_window,label
2026-06-30 07:08:00,SYS-002,System Administrator,Infrastructure Operations,update_configuration,Linux Production Server,4,7,SYS-002-DEV-02,10.20.2.14,Mumbai HQ,0,0.94,False,False,True,True,True,normal
2026-06-30 09:11:08,AUD-004,Privileged Auditor,Internal Audit,review_access_records,Audit Log Repository,4,9,AUD-004-DEV-01,10.60.4.168,Regional Audit Office,0,0.0,False,False,True,True,True,normal
2026-06-30 09:30:07,AUD-002,Privileged Auditor,Internal Audit,review_access_records,Audit Log Repository,4,9,AUD-002-DEV-01,10.60.2.172,Mumbai HQ,0,2.05,False,False,True,True,True,normal
2026-06-30 09:35:46,SYS-004,System Administrator,Infrastructure Operations,download_report,Network Configuration System,5,9,SYS-004-DEV-01,10.20.4.208,Pune Data Centre,0,72.4,False,False,True,True,True,normal
2026-06-30 09:40:49,AUD-005,Privileged Auditor,Internal Audit,generate_compliance_report,Audit Log Repository,4,9,AUD-005-DEV-01,10.60.5.144,Mumbai HQ,0,2.38,False,False,True,True,True,normal
2026-06-30 09:55:27,APP-002,Application Administrator,Application Operations,review_application_logs,Payment Gateway Console,5,9,APP-002-DEV-01,10.40.2.68,Pune Technology Centre,0,2.79,False,False,True,True,True,normal
2026-06-30 10:03:17,AUD-004,Privileged Auditor,Internal Audit,generate_compliance_report,Audit Log Repository,4,10,AUD-004-DEV-01,10.60.4.56,Mumbai HQ,0,2.02,False,False,True,True,True,normal
2026-06-30 10:19:20,SEC-005,Security Administrator,Cyber Security Operations,download_report,Firewall Console,5,10,SEC-005-DEV-02,10.30.5.90,Mumbai SOC,1,18.34,False,False,True,True,True,normal
2026-06-30 10:28:29,APP-002,Application Administrator,Application Operations,application_login,Payment Gateway Console,5,10,APP-002-DEV-01,10.40.2.186,Mumbai HQ,0,4.09,False,False,True,True,True,normal
2026-06-30 10:30:10,VEN-005,External Vendor,Third-Party Services,download_report,Vendor Support Portal,2,10,VEN-005-DEV-01,10.50.5.201,Approved Vendor Network,0,21.62,False,False,True,True,True,normal
2026-06-30 10:52:20,SEC-001,Security Administrator,Cyber Security Operations,download_report,Identity and Access Management,5,10,SEC-001-DEV-01,10.30.1.205,Mumbai SOC,0,33.36,False,False,True,True,True,normal
2026-06-30 11:04:41,SYS-004,System Administrator,Infrastructure Operations,server_login,Network Configuration System,5,11,SYS-004-DEV-02,10.20.4.158,Mumbai HQ,0,1.03,False,False,True,True,True,normal
2026-06-30 11:40:31,AUD-002,Privileged Auditor,Internal Audit,generate_compliance_report,Audit Log Repository,4,11,AUD-002-DEV-01,10.60.2.227,Regional Audit Office,0,2.26,False,False,True,True,True,normal
2026-06-30 11:51:03,APP-001,Application Administrator,Application Operations,download_report,Loan Processing System,5,11,APP-001-DEV-02,10.40.1.162,Mumbai HQ,0,36.38,False,False,True,True,True,normal
2026-06-30 11:53:42,VEN-002,External Vendor,Third-Party Services,download_report,Vendor Support Portal,2,11,VEN-002-DEV-01,10.50.2.34,Approved Vendor Network,0,27.27,False,False,True,True,True,normal
2026-06-30 12:45:05,SYS-004,System Administrator,Infrastructure Operations,download_report,Linux Production Server,4,12,SYS-004-DEV-01,10.20.4.73,Pune Data Centre,1,52.17,False,False,True,True,True,normal
2026-06-30 13:15:29,SEC-003,Security Administrator,Cyber Security Operations,update_firewall_rule,Firewall Console,5,13,SEC-003-DEV-02,10.30.3.58,Mumbai SOC,0,2.92,False,False,True,True,True,normal
2026-06-30 13:46:56,APP-003,Application Administrator,Application Operations,application_login,Internet Banking Application,5,13,APP-003-DEV-02,10.40.3.216,Pune Technology Centre,0,2.24,False,False,True,True,True,normal
2026-06-30 14:06:33,SYS-001,System Administrator,Infrastructure Operations,review_system_logs,Identity Server,5,14,SYS-001-DEV-01,10.20.1.114,Mumbai HQ,0,2.17,False,False,True,True,True,normal
2026-06-30 14:13:29,VEN-004,External Vendor,Third-Party Services,perform_maintenance,Approved Maintenance Server,3,14,VEN-004-DEV-01,10.50.4.37,Approved Vendor Network,0,3.96,False,False,True,True,True,normal
2026-06-30 14:16:53,DBA-004,Database Administrator,Database Operations,database_login,Database Backup Server,4,14,DBA-004-DEV-01,10.10.4.201,Mumbai HQ,1,1.93,False,False,True,True,True,normal
2026-06-30 14:25:26,SYS-002,System Administrator,Infrastructure Operations,server_login,Windows Administration Server,4,14,SYS-002-DEV-02,10.20.2.90,Pune Data Centre,0,2.81,False,False,True,True,True,normal
